smiles,value,label
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0.0,0
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,6.17,0
Cl.O=C1N[C@H]2CNC[C@@H]2c2cccc(C(F)(F)F)c21,7.48,0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,7.35,0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.0,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,6.75,0
Nc1cc(-c2ccncc2)c[nH]c1=O,0.0,0
Cc1cccc2c1C(=O)N[C@H]1CNC[C@H]21.Cl,7.64,0
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,7.47,0
Cl.Fc1ccc2c(c1)CC(CCN1CCc3ccccc3C1)C2,5.9,0
COc1ccc(C(=O)CCCN2CCc3ccccc3C2)cc1,6.14,0
COc1ccc(CCN(CCc2ccccc2)CCc2ccc3c(c2)OCO3)cc1OC,7.77,0
CCSc1ccc2c(c1)N(C[C@H](C)N)CC2,6.72,0
O=C1Cc2cc(C(=O)CCCN3CCc4ccccc4C3)ccc2N1,6.32,0
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,7.75,0
C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,7.16,0
Nc1nccc(-c2c[nH]c3cccc(O)c23)n1,6.82,0
COc1ccc(CCN(CCCc2cc(OC)c(OC)c(OC)c2)Cc2ccc3c(c2)OCO3)cc1OC,6.64,0
Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,6.5,0
O=C(CCCN1CCc2ccccc2C1)c1ccc(O)cc1,6.45,0
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,0.0,0
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.0,0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.0,0
Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(F)c(Cl)cc32)cn1,6.2,0
CCc1cc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc(-c2cccnc2)c1,8.0,0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3c(F)cccc3F)c1)CC2,7.0,0
Cc1ccc2c(N3CCN(CCc4cccc(NC(=O)Nc5ccccc5)c4)CC3)cccc2n1,0.0,0
COC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,6.7,0
CCNC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,6.4,0
Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,6.3,0
CCc1c(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)sc2ccc(Cl)cc12,0.0,0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3cnccc3C)c1)CC2,8.2,1
C[C@@H]1SC(c2ccc(-c3ccccc3)cc2)=N[C@H]1Cc1c[nH]cn1,5.96,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0,0
CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,0.0,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.0,0
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,7.0,0
CCCCC1(O)c2ccccc2-c2ccc(C(=O)N=C(N)N)cc21.Cl,7.51,0
CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,0.0,0
CC(C)c1noc(COc2ccc(Cl)cc2OC2CNC2)n1,0.0,0
CNCCc1ccccn1,0.0,0
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.0,0
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,0
CN(CCc1cccc(F)c1)[C@H]1C2C3CC4C5C3CC2C5C41,5.22,0
Cl.O=C1N[C@H]2CNC[C@@H]2c2ccccc21,5.24,0
Cl.O=C1N[C@H]2CNC[C@@H]2c2cccc(C(F)(F)F)c21,7.14,0
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,0.0,0
COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,0.0,0
COc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1Cl,7.8,0
O=C1c2ccccc2C(=O)C1c1ccccc1,0.0,0
C[C@H](N)CN1CCc2cc(F)c(I)cc21,7.42,0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,0
CN1C(=O)OC(C)(C)C1=O,0.0,0
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],0.0,0
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0.0,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,6.08,0
C[N+](C)(C)CCOC(N)=O.[Cl-],0.0,0
NC[C@H]1CC[C@H](C(=O)O)CC1,0.0,0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.0,0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.0,0
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2[C@H]5O)N3C1O,0.0,0
COc1ccc(C(=O)N2CCCC2=O)cc1,0.0,0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0.0,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.0,0
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0.0,0
CCN(CC)c1nc2c(c(-c3ccc(C)cc3)n1)CNCC2,7.16,0
CC(C)(C)c1nc2c(c(-c3ccc(F)cc3)n1)CNCC2,7.16,0
Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CCNCC3)cc1,7.52,0
COc1ccc(-c2nc(C3CCCC3)nc3c2CCNCC3)cc1,8.32,1
