smiles,value,label
O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,0.0,0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.5,0
CN(C)CCN1C(=O)c2ccccc2N(C)C(=O)c2ccccc21,0.0,0
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.86,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],0.0,0
CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.0,0
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,0.0,0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.36,1
O=S(=O)(c1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,4.5,0
COCCn1c(C)c(C)c(S(=O)(=O)c2ccc(Cl)cc2)c1N,5.28,0
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCOCC1,8.23,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,8.31,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,8.6,1
NCCCCCC(=O)O,0.0,0
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc2ncccc2c1,7.63,0
CCC1(CCCCN2CCN(c3ccc(Cl)cc3)CC2)C(=O)Nc2cc(F)ccc21,7.71,0
CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1,7.62,0
O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)c1ccc(N2CCCCC2)cc1,6.86,0
O=C(Cc1ccc2c(c1)OCO2)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,7.29,0
O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4occc34)CC2)CC1)C1CCOCC1,8.66,1
O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CCC1,7.64,0
O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc2c(Cl)cccc2c1,6.0,0
NC(=O)c1ccc(C(=O)CCCN2CCc3ccccc3C2)cc1,6.39,0
Cl.Fc1ccc(SCCCN2CCc3ccccc3C2)cc1,6.43,0
COc1ccc(CCN(CC/C=C\c2ccccc2)Cc2ccc3c(c2)OCO3)cc1OC,6.65,0
Cl.Cl.c1ccc2c(c1)CCN(CCCc1nc3ccccc3[nH]1)C2,0.0,0
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCC[C@@H]2C1,5.9,0
CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1,0.0,0
Cl.O=C1c2ccccc2CC1CCN1CCc2ccccc2C1,6.41,0
COc1cc2c(cc1OC)C(=O)CC(CN1CCC(C(=O)c3ccc(F)cc3)CC1)C2,8.25,1
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,7.09,0
NCCCC1(CCCN)CCc2cccc(O)c2C1,5.0,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,9.31,1
OC1(c2ccc(Cl)cc2)CCN(CCCCc2nc3ccccc3o2)CC1,5.22,0
Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,7.21,0
Cc1ccc(CCn2c3c(c4cc(C)ccc42)CN(C)CC3)cc1,8.96,1
OC12C3C4CC5C6C4C1C6C(C53)N2CCCc1cccc(F)c1,0.0,0
CCC1(C)CC(=O)NC1=O,0.0,0
COc1ccc(OC)c(CC(C)N)c1,5.28,0
NCC(c1ccccc1)c1ccc(Br)cc1,8.46,1
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0.0,0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,8.05,1
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,7.63,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.0,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.0,0
c1ccc2c(c1)nc1n2CCNC1,0.0,0
CC(=O)Oc1ccccc1C(=O)O,0.0,0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(-c3cccnc3)ccc1F)CC2,5.1,0
Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Cl)ccc32)cn1,0.0,0
Cc1cc(N2CCNCC2)c2cc(NS(=O)(=O)c3sc4ccc(Cl)cc4c3C)ccc2n1,0.0,0
Cc1ccc2c(N3CCN(CCc4cccc(NC(=O)c5cnccn5)c4)CC3)cccc2n1,6.8,0
Cc1c(Cl)cc2c(c1Cl)CCN2C(=O)Nc1cccnc1,7.5,0
O=C(CCCc1ccccc1)N1c2ccccc2Sc2ccccc21,5.8,0
OC(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,6.9,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0,0
Cc1cccc2c1N1CCNCC1NC2=O,0.0,0
Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCN(C)CC4)c3c2)sc2ccc(Cl)cc12,6.0,0
Oc1ccccc1,0.0,0
Clc1ccc2c(c1)N=C(N1CCN(Cc3ccccc3)CC1)c1cccnc1O2,5.96,0
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,8.75,1
O=C1c2ccccc2CCCN1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,7.98,0
Cc1c(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cccc1NC(=O)c1ccc(-c2ccccc2)cc1,7.28,0
Cc1cc(=O)n(-c2ccccc2)n1C,0.0,0
OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0.0,0
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.0,0
