smiles,value,label
CCCC/N=C(/N)NC(=O)c1ccc(C)cc1,4.76,0
O=[N+]([O-])c1ccc(-c2nc(-c3cccc(C(F)(F)F)c3)c[nH]2)cc1,5.6,0
O=C(NCc1noc(-c2nn(CCn3ccnc3)c3ccccc23)n1)c1ccccc1,4.34,0
FC(F)(F)c1ccc(-c2c[nH]c(-c3ccccc3)n2)cc1,5.85,0
FC(F)(F)c1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,5.57,0
N=C1N[C@@]23[C@H]([C@H]4NC(=N)N2C[C@](OS(=O)(=O)O)(C[C@H]2[C@@H](CO)CON2C4=O)C3(O)O)N1COC(=O)NO,0.0,0
CCCCCCCCCC[C@H]1C[C@@]2(CCCO2)NC(=N)N1,8.68,1
O=C(CSc1ccc(C(F)(F)F)cn1)N1CCCc2ccccc21,0.0,0
CC(C)(O)CC(=O)N1C[C@H]2CN(c3cccc4c3cnn4-c3ccccc3F)C(=O)[C@H]2C1,0.0,0
COc1cccc2[nH]cc(CC/N=C(/N)NC(=O)c3ccc(C)cc3)c12,5.47,0
COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(S(=O)(=O)Nc3nccs3)ccc12,5.68,0
Cc1ccc(C(=O)NC(=N)NCCc2ccc(Cl)cc2)cc1,5.71,0
N=C(NCCCCc1ccccc1)NC(=O)c1cccc(Cl)c1Cl,5.83,0
Cc1ccc(C(=O)NC(=N)Nc2ccc(C(C)C)cc2)cc1,5.71,0
O=C1NCCN1CCOc1nn(-c2ccccc2F)c2ccc(F)cc12,5.58,0
Cc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,5.94,0
Cc1ccc(C(=O)NC(=N)NCCc2cccs2)cc1,5.3,0
CCCCCCCCCC[C@@H]1C[C@]2(CCCO2)NC(=N)N1,9.35,1
NC(=O)C(c1ccccc1)(c1ccc(F)cc1)c1ccc(F)cc1,0.0,0
Cc1ccc(C(=O)NC(=N)Nc2cccc3ccccc23)cc1,5.48,0
C/N=C(\NCCCCc1ccccc1)NC(=O)c1ccc(C)cc1,5.38,0
Cc1ccc(C(=O)N/C(N)=N\c2ccccc2C(C)C)cc1,5.36,0
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,5.96,0
O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(c1ccccc1)c1ccccc1,6.41,0
COc1cc(NC(=O)c2cncc(-c3ccc(Cl)cc3)n2)cc(OC)c1,5.21,0
CCOc1ccc(-c2cncc(C(=O)Nc3cccc(C)c3)n2)cc1,6.0,0
NC1=N[C@H](O)[C@H]2[C@H]3O[C@]4(O)O[C@@H]([C@@H](O)[C@@]2(N1)[C@@H]4O)[C@]3(O)CO,7.85,0
